Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
Vinyl crotonate,Aliphatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,1.3545582036367866E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1,2,3-Benzenetriol",Aromatic,Unknown Origin,0.00000,4.5562887002536221E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.962696819929884E-4,0.00000,0.00000,0.00000
"1,3,5-Cycloheptatriene",Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.0897867874502878E-4
"1H-Indene, 5,6-dimethoxy-",Aromatic,Unknown Origin,0.00000,5.1313542643633024E-3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2-Methoxy-5-methylphenol,Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.502899911621741E-2
4-Hydroxy-2-methylacetophenone,Aromatic,Unknown Origin,0.00000,0.00000,4.8240806043567977E-4,0.00000,0.00000,0.00000,0.00000,8.6080289904612851E-5,0.00000,2.2995308580077387E-4,8.7718737328946382E-5,0.00000
5-tert-Butylpyrogallol,Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,3.1529503718694565E-3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Acenaphthene,Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.4785926871148987E-4,0.00000,0.00000
Asarone,Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,1.3949067458727759E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Benzene, 2,4-diisocyanato-1-methyl-",Aromatic,Unknown Origin,0.00000,0.00000,0.00000,1.4428921329913689E-3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Indane,Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.884992372922365E-5,0.00000,0.00000,0.00000,0.00000,0.00000
"Phenol, 2-methoxy-5-(1-propenyl)-, (E)-",Aromatic,Unknown Origin,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.8492874502872297E-3
Toluene,Aromatic,Unknown Origin,0.00000,0.00000,7.3491852956998095E-4,1.2986029196922306E-3,2.9627358156140781E-4,0.00000,2.3642803997582458E-4,0.00000,5.2307255260627278E-4,6.6912578245307153E-4,0.00000,0.00000
C8_H16,other,Unknown Origin,0.00000,0.00000,0.00000,0.00000,7.3780191517237739E-4,0.00000,5.2286970379268908E-4,0.00000,0.00000,0.00000,0.00000,0.00000
C9_H8,other,Unknown Origin,0.00000,2.6364544323797656E-4,1.2939591204394535E-3,5.6753757230993784E-4,0.00000,3.4330665164439994E-4,2.6955394667573407E-4,1.792540558147283E-4,2.2766427448892978E-4,5.4566736343708219E-4,0.00000,1.9332744144940345E-4
