Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
"2(3H)-Furanone, 5-methyl-",Aromatic,Polysaccharide,0.11%,0.17%,0.42%,0.12%,0.15%,0.00%,0.07%,0.08%,0.00%,0.33%,0.03%,0.08%
2H-Pyran-2-one,Aliphatic,Polysaccharide,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%
"2-Cyclopenten-1-one, 2-methyl-",Aromatic,Polysaccharide,0.03%,0.02%,0.11%,0.00%,0.06%,0.00%,0.05%,0.00%,0.00%,0.11%,0.00%,0.00%
"Furfural, 5-methyl-",Aromatic,Polysaccharide,0.03%,0.03%,0.09%,0.04%,0.04%,0.00%,0.01%,0.00%,0.00%,0.05%,0.06%,0.08%
"2-Cyclopenten-1-one, 2,3-dimethyl-",Aromatic,Polysaccharide,0.03%,0.05%,0.13%,0.09%,0.05%,0.05%,0.07%,0.00%,0.02%,0.10%,0.05%,0.05%
"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",Aromatic,Polysaccharide,0.02%,1.05%,0.12%,0.08%,0.05%,0.00%,0.01%,0.00%,0.03%,0.77%,0.05%,0.05%
"Furan, 2,4-dimethyl-",Aromatic,Polysaccharide,0.01%,0.06%,0.11%,0.08%,0.05%,0.00%,0.06%,0.00%,0.00%,0.14%,0.01%,0.07%
"Benzofuran, 2-methyl-",Aromatic,Polysaccharide,0.01%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.02%,0.01%,0.03%,0.01%,0.01%
Acetic anhydride,Aliphatic,Polysaccharide,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%
"1,2-Cyclohexanedione",Aromatic,Polysaccharide,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%
"2(3H)-Benzofuranone, 3-methyl-",Aromatic,Polysaccharide,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%
2-Acetylfuran,Aromatic,Polysaccharide,0.00%,0.00%,0.03%,0.00%,0.02%,0.00%,0.02%,0.00%,0.00%,0.03%,0.00%,0.00%
5-Ethyl-2-furaldehyde,Aromatic,Polysaccharide,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%
"Cyclopent-2-ene-1-one, 2,3,4-trimethyl-",Aromatic,Polysaccharide,0.00%,0.00%,0.90%,0.00%,0.01%,0.00%,0.02%,0.00%,0.00%,0.02%,0.01%,0.01%
